Sat Jan 11 00:16:14 2020       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 418.40.04    Driver Version: 418.40.04    CUDA Version: 10.1     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  Tesla V100-SXM2...  Off  | 00000000:89:00.0 Off |                    0 |
| N/A   30C    P0    55W / 300W |      0MiB / 32480MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
Using device: cuda
/users/40160005/gridware/share/python/3.6.4/lib/python3.6/site-packages/torch/optim/lr_scheduler.py:100: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule.See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  "https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate", UserWarning)
Epoch 001 [66/255]: Loss: 5.2936 Acc: 0.0052 (30.55s)
Epoch 001 [67/255]: Loss: 5.2936 Acc: 0.0051 (30.93s)
Epoch 001 [68/255]: Loss: 5.2933 Acc: 0.0051 (31.30s)
Epoch 001 [69/255]: Loss: 5.2933 Acc: 0.0050 (31.69s)
Epoch 001 [70/255]: Loss: 5.2932 Acc: 0.0049 (32.08s)
Epoch 001 [71/255]: Loss: 5.2929 Acc: 0.0048 (32.44s)
Epoch 001 [72/255]: Loss: 5.2932 Acc: 0.0048 (32.80s)
Epoch 001 [73/255]: Loss: 5.2932 Acc: 0.0047 (33.18s)
Epoch 001 [74/255]: Loss: 5.2932 Acc: 0.0046 (33.51s)
Epoch 001 [75/255]: Loss: 5.2931 Acc: 0.0046 (33.83s)
Epoch 001 [76/255]: Loss: 5.2930 Acc: 0.0045 (34.21s)
Epoch 001 [77/255]: Loss: 5.2929 Acc: 0.0049 (34.56s)
Epoch 001 [78/255]: Loss: 5.2928 Acc: 0.0048 (34.97s)
Epoch 001 [79/255]: Loss: 5.2928 Acc: 0.0047 (35.36s)
Epoch 001 [80/255]: Loss: 5.2928 Acc: 0.0047 (35.74s)
Epoch 001 [81/255]: Loss: 5.2925 Acc: 0.0046 (36.45s)
Epoch 001 [82/255]: Loss: 5.2923 Acc: 0.0046 (36.81s)
Epoch 001 [83/255]: Loss: 5.2923 Acc: 0.0045 (37.19s)
Epoch 001 [84/255]: Loss: 5.2922 Acc: 0.0045 (37.55s)
Epoch 001 [85/255]: Loss: 5.2919 Acc: 0.0048 (37.87s)
Epoch 001 [86/255]: Loss: 5.2918 Acc: 0.0047 (38.20s)
Epoch 001 [87/255]: Loss: 5.2918 Acc: 0.0047 (38.54s)
Epoch 001 [88/255]: Loss: 5.2915 Acc: 0.0046 (38.93s)
Epoch 001 [89/255]: Loss: 5.2915 Acc: 0.0046 (39.22s)
Epoch 001 [90/255]: Loss: 5.2915 Acc: 0.0045 (39.63s)
Epoch 001 [91/255]: Loss: 5.2916 Acc: 0.0048 (40.03s)
Epoch 001 [92/255]: Loss: 5.2915 Acc: 0.0048 (40.43s)
Epoch 001 [93/255]: Loss: 5.2914 Acc: 0.0050 (42.63s)
Epoch 001 [94/255]: Loss: 5.2912 Acc: 0.0053 (42.89s)
Epoch 001 [95/255]: Loss: 5.2911 Acc: 0.0053 (43.14s)
Epoch 001 [96/255]: Loss: 5.2909 Acc: 0.0052 (43.43s)
Epoch 001 [97/255]: Loss: 5.2906 Acc: 0.0052 (43.72s)
Epoch 001 [98/255]: Loss: 5.2906 Acc: 0.0051 (44.00s)
Epoch 001 [99/255]: Loss: 5.2908 Acc: 0.0051 (44.28s)
Epoch 001 [100/255]: Loss: 5.2909 Acc: 0.0050 (44.60s)
Epoch 001 [101/255]: Loss: 5.2908 Acc: 0.0050 (44.94s)
Epoch 001 [102/255]: Loss: 5.2907 Acc: 0.0049 (45.25s)
Epoch 001 [103/255]: Loss: 5.2905 Acc: 0.0049 (45.59s)
Epoch 001 [104/255]: Loss: 5.2904 Acc: 0.0048 (45.96s)
Epoch 001 [105/255]: Loss: 5.2902 Acc: 0.0048 (46.36s)
Epoch 001 [106/255]: Loss: 5.2900 Acc: 0.0047 (46.69s)
Epoch 001 [107/255]: Loss: 5.2901 Acc: 0.0050 (46.99s)
Epoch 001 [108/255]: Loss: 5.2900 Acc: 0.0049 (47.33s)
Epoch 001 [109/255]: Loss: 5.2898 Acc: 0.0049 (47.73s)
